id,document,label
6270596,굳 ㅋ,1
9274899,GDNTOPCLASSINTHECLUB,0
8544678,뭐야 이 평점들은.... 나쁘진 않지만 10점 짜리는 더더욱 아니잖아,0
6825595,지루하지는 않은데 완전 막장임... 돈주고 보기에는....,0
6723715,3D만 아니었어도 별 다섯 개 줬을텐데.. 왜 3D로 나와서 제 심기를 불편하게 하죠??,0
7898805,"음악이 주가 된, 최고의 음악영화",1
6315043,진정한 쓰레기,0
6097171,"마치 미국애니에서 튀어나온듯한 창의력없는 로봇디자인부터가,고개를 젖게한다",0
8932678,갈수록 개판되가는 중국영화 유치하고 내용없음 폼잡다 끝남 말도안되는 무기에 유치한cg남무 아 그립다 동사서독같은 영화가 이건 3류아류작이다,0
6242223,"이별의 아픔뒤에 찾아오는 새로운 인연의 기쁨 But, 모든 사람이 그렇지는 않네..",1
7462111,괜찮네요오랜만포켓몬스터잼밌어요,1
8425305,한국독립영화의 한계 그렇게 아버지가 된다와 비교됨,0
6900881,청춘은 아름답다 그 아름다움은 이성을 흔들어 놓는다. 찰나의 아름다움을 잘 포착한 섬세하고 아름다운 수채화같은 퀴어영화이다.,1
9629375,눈에 보이는 반전이었지만 영화의 흡인력은 사라지지 않았다.,1
9037756,"""스토리, 연출, 연기, 비주얼 등 영화의 기본 조차 안된 영화에 무슨 평을 해. 이런 영화 찍고도 김문옥 감독은 """"내가 영화 경력이 몇OO인데 조무래기들이 내 영화를 평론해?"""" 같은 마인드에 빠져있겠지?""",0
10268521,소위 ㅈ문가라는 평점은 뭐냐?,1
2968565,최고!!!!!!!!!!!!!!!!,1
10107726,발연기 도저히 못보겠다 진짜 이렇게 연기를 못할거라곤 상상도 못했네,0
6406912,나이스,1
4174028,별 재미도없는거 우려먹어 .... 챔프에서 방송 몇번했더라 ? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
